name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,closed_issues_count,updated_issues_count,comment_frequency,dependents_count,criticality_score
gvt-linux,https://github.com/intel/gvt-linux,C,191,0,5000,10,1339.3,42,46,66,1.8,48919,0.93999
git,https://github.com/git/git,C,191,0,1913,4,45.6,50,48,71,14.2,28092533,0.93679
linux,https://github.com/raspberrypi/linux,C,191,0,5000,10,158.2,4,136,265,4.3,59394,0.92605
linux,https://github.com/torvalds/linux,C,113,0,5000,10,1520.6,73,0,215,0.0,48554360,0.91801
php-src,https://github.com/php/php-src,C,264,0,1207,9,76.2,50,361,594,1.5,290464,0.90875
openssl,https://github.com/openssl/openssl,C,268,0,702,4,49.1,15,676,1119,4.5,405417,0.89121
systemd,https://github.com/systemd/systemd,C,191,0,1884,2,88.3,9,894,1317,3.1,114739,0.8628
qmk_firmware,https://github.com/qmk/qmk_firmware,C,126,0,2006,4,48.5,120,912,1280,1.6,17324,0.84399
curl,https://github.com/curl/curl,C,256,0,867,8,27.8,9,390,424,2.6,30200,0.83302
zephyr,https://github.com/zephyrproject-rtos/zephyr,C,69,0,1038,5,196.9,13,2276,3133,2.1,4981,0.83081
openwrt,https://github.com/openwrt/openwrt,C,204,0,901,4,63.5,2,334,477,5.6,23850,0.81872
u-boot,https://github.com/u-boot/u-boot,C,250,0,2729,8,125.9,19,4,5,0.2,86363,0.815
qemu,https://github.com/qemu/qemu,C,217,0,2057,3,155.8,16,6,6,1.0,219443,0.80989
mbed-os,https://github.com/ARMmbed/mbed-os,C,96,0,866,6,53.0,18,1702,2010,1.7,3691,0.8084
esp-idf,https://github.com/espressif/esp-idf,C,53,0,472,3,45.8,17,383,733,3.4,77592,0.80452
kmsan,https://github.com/google/kmsan,C,191,1,5000,10,1265.9,0,2,4,2.5,7488,0.80306
redis,https://github.com/redis/redis,C,143,0,508,10,16.8,6,515,674,2.8,8016,0.79719
astropy,https://github.com/astropy/astropy,C,115,0,403,9,39.2,12,427,663,4.3,1458,0.79218
gnucash,https://github.com/Gnucash/gnucash,C,282,0,231,4,26.7,12,65,78,4.2,137435,0.79062
RIOT,https://github.com/RIOT-OS/RIOT,C,125,0,377,6,100.7,5,692,942,3.5,2726,0.7859
ompi,https://github.com/open-mpi/ompi,C,208,0,302,9,9.8,6,252,379,2.8,25889,0.7818
kernel_common,https://github.com/aosp-mirror/kernel_common,C,191,0,5000,10,1521.3,52,0,0,0,666,0.76366
frr,https://github.com/FRRouting/frr,C,220,0,395,5,49.6,5,578,775,5.8,942,0.76363
lxc,https://github.com/lxc/lxc,C,151,0,467,6,12.8,9,55,75,2.7,24253,0.76302
RetroArch,https://github.com/libretro/RetroArch,C,129,0,512,5,78.2,9,280,491,1.5,3740,0.76164
obs-studio,https://github.com/obsproject/obs-studio,C,88,0,423,5,20.0,22,386,643,3.2,2272,0.75825
FFmpeg,https://github.com/FFmpeg/FFmpeg,C,244,0,2038,1,76.5,17,8,9,2.6,29616,0.75788
bcc,https://github.com/iovisor/bcc,C,69,0,374,10,6.8,5,91,129,2.5,33820,0.75756
linux-xlnx,https://github.com/Xilinx/linux-xlnx,C,191,1,5000,10,20.7,9,0,0,0,119647,0.75674
FreeRDP,https://github.com/FreeRDP/FreeRDP,C,115,0,372,8,13.9,5,173,259,2.7,7924,0.7565
ImageMagick,https://github.com/ImageMagick/ImageMagick,C,138,0,111,7,28.4,66,99,140,3.3,8344,0.7562
haproxy,https://github.com/haproxy/haproxy,C,183,0,321,5,46.3,17,123,211,4.4,1510,0.75544
spdk,https://github.com/spdk/spdk,C,66,0,216,3,58.7,8,126,185,5.9,17537,0.75536
glusterfs,https://github.com/gluster/glusterfs,C,181,0,362,6,8.2,37,571,850,3.7,1047,0.75338
libuv,https://github.com/libuv/libuv,C,119,2,444,9,4.7,23,44,124,2.4,27109,0.75288
util-linux,https://github.com/karelzak/util-linux,C,343,0,749,5,18.9,6,63,88,3.3,5077,0.74871
linux,https://github.com/xanmod/linux,C,49,0,5000,10,1287.3,182,23,28,2.5,3,0.7486
optee_os,https://github.com/OP-TEE/optee_os,C,80,0,185,7,15.2,7,205,240,4.4,9112,0.74844
mptcp,https://github.com/multipath-tcp/mptcp,C,191,1,5000,10,88.0,1,2,5,1.2,4486,0.74659
urbit,https://github.com/urbit/urbit,C,88,0,155,4,85.6,5,751,872,2.5,8874,0.7452
edk2,https://github.com/tianocore/edk2,C,179,0,505,4,26.4,4,324,326,1.3,13357,0.73933
gpdb,https://github.com/greenplum-db/gpdb,C,298,0,365,7,24.4,18,403,548,1.5,943,0.73709
fio,https://github.com/axboe/fio,C,183,0,355,6,7.7,15,53,79,3.7,4715,0.73689
freebsd,https://github.com/freebsd/freebsd,C,335,0,796,8,156.5,0,10,47,0.3,32429,0.73684
darktable,https://github.com/darktable-org/darktable,C,143,0,443,2,80.6,3,1116,1395,4.2,1297,0.73662
rdma-core,https://github.com/linux-rdma/rdma-core,C,194,0,358,8,10.3,37,83,90,1.5,3407,0.73457
kernel,https://github.com/sonyxperiadev/kernel,C,191,0,5000,10,14.2,0,26,33,1.9,906,0.73133
mesa,https://github.com/mesa3d/mesa,C,278,0,1087,6,245.8,23,4,4,0.8,1210,0.73127
zfs,https://github.com/openzfs/zfs,C,156,0,548,8,16.2,12,800,1107,1.7,270,0.73112
mbedtls,https://github.com/ARMmbed/mbedtls,C,146,0,214,7,26.2,15,216,483,1.3,2381,0.72839
