name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,closed_issues_count,updated_issues_count,comment_frequency,dependents_count,criticality_score
cmssw,https://github.com/cms-sw/cmssw,C++,274,0,2361,6,158.1,100,1106,1292,16.7,15583,0.96148
tensorflow,https://github.com/tensorflow/tensorflow,C++,62,0,3459,5,458.9,27,2790,4303,3.2,115088,0.96032
pytorch,https://github.com/pytorch/pytorch,C++,108,0,2441,5,175.5,6,14965,18567,1.0,397587,0.91955
ceph,https://github.com/ceph/ceph,C++,239,0,1368,3,150.3,16,1452,1957,3.1,326513,0.91136
bitcoin,https://github.com/bitcoin/bitcoin,C++,138,0,933,4,51.7,3,821,1274,4.1,314523,0.86966
electron,https://github.com/electron/electron,C++,95,0,1145,6,29.9,157,1518,2067,2.2,48325,0.86535
llvm-project,https://github.com/llvm/llvm-project,C++,238,0,2642,5,661.1,20,32,32,1.3,40742,0.86215
Cataclysm-DDA,https://github.com/CleverRaven/Cataclysm-DDA,C++,124,0,1683,3,160.8,1217,1893,2506,1.9,8709,0.85035
Marlin,https://github.com/MarlinFirmware/Marlin,C++,114,0,864,4,39.0,19,1795,2035,3.4,20157,0.84342
swift,https://github.com/apple/swift,C++,127,0,1018,2,152.8,10,1446,1702,4.1,16988,0.83687
grpc,https://github.com/grpc/grpc,C++,74,0,692,3,64.9,29,773,1111,1.9,105202,0.83167
opencv,https://github.com/opencv/opencv,C++,129,0,1690,8,22.1,8,1014,1363,1.7,10000,0.82843
QGIS,https://github.com/qgis/QGIS,C++,225,0,555,10,143.2,9,1762,2388,2.3,1797,0.82604
envoy,https://github.com/envoyproxy/envoy,C++,53,0,670,5,50.0,27,1210,1771,3.5,5983,0.8118
server,https://github.com/MariaDB/server,C++,248,0,1677,5,53.7,45,51,96,2.1,6396,0.80168
xbmc,https://github.com/xbmc/xbmc,C++,137,0,1040,2,34.6,11,553,766,3.1,20093,0.7957
arrow,https://github.com/apache/arrow,C++,59,0,605,6,48.3,7,817,934,4.1,6024,0.79515
Trilinos,https://github.com/trilinos/Trilinos,C++,278,0,548,4,55.6,2,579,827,6.3,8032,0.79513
emscripten,https://github.com/emscripten-core/emscripten,C++,126,0,611,5,32.1,35,677,1060,2.3,3371,0.79069
solidity,https://github.com/ethereum/solidity,C++,85,0,419,8,41.6,23,818,1199,2.1,2611,0.78892
ClickHouse,https://github.com/ClickHouse/ClickHouse,C++,147,0,829,2,287.5,62,3271,4149,1.2,1285,0.78777
godot,https://github.com/godotengine/godot,C++,94,0,1484,2,65.9,4,2472,4816,2.1,6316,0.78511
