name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
mono,https://github.com/mono/mono,C#,238,0,1278,4,22.5,24,403,216,1.6,204151,0.84383
azure-powershell,https://github.com/Azure/azure-powershell,C#,77,0,1363,4,34.2,57,1087,776,2.5,16589,0.82634
runtime,https://github.com/dotnet/runtime,C#,238,0,2306,3,134.2,11,34076,30894,0.6,6541,0.82262
aspnetcore,https://github.com/dotnet/aspnetcore,C#,86,0,978,3,61.4,25,5081,2857,1.8,8028,0.81503
Umbraco-CMS,https://github.com/umbraco/Umbraco-CMS,C#,140,0,824,8,33.9,25,3123,2546,0.7,3860,0.80994
roslyn,https://github.com/dotnet/roslyn,C#,82,0,562,2,185.0,5,2820,1791,1.9,22661,0.78983
azure-sdk-for-net,https://github.com/Azure/azure-sdk-for-net,C#,110,0,986,2,61.1,881,2773,2069,1.7,2581,0.77953
sdk,https://github.com/dotnet/sdk,C#,64,0,378,3,79.3,26,1485,1160,1.1,11685,0.76656
osu,https://github.com/ppy/osu,C#,78,0,232,4,138.1,69,1329,1069,1.8,3192,0.76582
jellyfin,https://github.com/jellyfin/jellyfin,C#,103,0,617,2,67.3,12,1101,756,1.6,10485,0.76378
PowerShell,https://github.com/PowerShell/PowerShell,C#,71,0,386,3,16.3,22,1215,650,2.9,4030,0.74244
Jackett,https://github.com/Jackett/Jackett,C#,70,0,357,3,49.5,339,1242,1099,2.6,1299,0.74114
Xamarin.Forms,https://github.com/xamarin/Xamarin.Forms,C#,58,0,319,6,20.6,56,2948,840,1.1,1265,0.72726
efcore,https://github.com/dotnet/efcore,C#,84,0,257,2,26.9,20,2617,1864,1.4,4230,0.72054
gitextensions,https://github.com/gitextensions/gitextensions,C#,147,0,442,5,11.5,6,330,230,4.1,821,0.71877
extensions,https://github.com/dotnet/extensions,C#,85,0,303,3,11.3,18,223,207,1.8,8493,0.71065
xamarin-macios,https://github.com/xamarin/xamarin-macios,C#,57,0,113,4,43.9,58,713,576,2.9,1447,0.71056
OpenRA,https://github.com/OpenRA/OpenRA,C#,165,0,363,4,19.5,9,526,319,2.3,1047,0.71053
abp,https://github.com/abpframework/abp,C#,49,0,196,2,124.5,48,1433,1193,1.3,1761,0.70542
IdentityServer4,https://github.com/IdentityServer/IdentityServer4,C#,62,1,283,9,8.2,15,770,735,1.6,1588,0.70514
Dnn.Platform,https://github.com/dnnsoftware/Dnn.Platform,C#,90,0,217,11,16.1,11,487,344,1.8,280,0.69765
Dynamo,https://github.com/DynamoDS/Dynamo,C#,112,0,151,4,9.1,11,267,229,2.1,5601,0.69638
aws-sdk-net,https://github.com/aws/aws-sdk-net,C#,109,0,119,4,31.6,140,238,122,1.6,2206,0.69434
aspnetboilerplate,https://github.com/aspnetboilerplate/aspnetboilerplate,C#,90,0,190,5,8.9,26,248,199,1.6,1736,0.69053
Avalonia,https://github.com/AvaloniaUI/Avalonia,C#,86,0,191,4,49.7,18,655,379,2.0,311,0.68857
ravendb,https://github.com/ravendb/ravendb,C#,162,0,330,6,58.9,1,440,418,0.6,1151,0.68556
installer,https://github.com/dotnet/installer,C#,64,0,301,2,47.4,14,545,518,0.7,3300,0.68295
MixedRealityToolkit-Unity,https://github.com/microsoft/MixedRealityToolkit-Unity,C#,60,0,156,5,61.9,4,626,340,2.3,796,0.6829
samples,https://github.com/dotnet/samples,C#,68,0,409,6,12.0,108,195,169,0.4,1019,0.67845
npgsql,https://github.com/npgsql/npgsql,C#,181,0,163,5,7.8,10,344,260,2.7,628,0.67612
GitVersion,https://github.com/GitTools/GitVersion,C#,89,0,260,6,10.5,16,166,106,2.4,316,0.67454
Radarr,https://github.com/Radarr/Radarr,C#,125,0,237,3,22.7,4,5172,4951,0.3,1021,0.67243
WindowsCommunityToolkit,https://github.com/windows-toolkit/WindowsCommunityToolkit,C#,57,0,285,8,27.9,2,354,195,3.0,211,0.67242
nopCommerce,https://github.com/nopSolutions/nopCommerce,C#,128,0,134,3,17.0,3,487,236,0.7,16414,0.6722
arcade,https://github.com/dotnet/arcade,C#,53,0,185,3,20.9,0,600,461,1.6,21285,0.66859
uno,https://github.com/unoplatform/uno,C#,32,0,179,5,66.9,9,924,534,3.0,136,0.66766
elasticsearch-net,https://github.com/elastic/elasticsearch-net,C#,125,0,217,6,7.6,15,204,175,1.2,562,0.66748
moq4,https://github.com/moq/moq4,C#,159,0,108,8,4.0,7,90,76,2.3,1868,0.66646
osu-framework,https://github.com/ppy/osu-framework,C#,53,0,112,4,43.5,110,315,207,1.3,944,0.66567
WalletWasabi,https://github.com/zkSNACKs/WalletWasabi,C#,58,0,69,7,97.1,8,673,560,1.5,279,0.66534
MvvmCross,https://github.com/MvvmCross/MvvmCross,C#,111,0,391,8,3.3,4,502,449,0.4,897,0.66344
Essentials,https://github.com/xamarin/Essentials,C#,35,0,82,8,7.7,17,306,206,2.7,1064,0.66309
CefSharp,https://github.com/cefsharp/CefSharp,C#,123,0,186,4,7.4,15,90,71,3.1,629,0.66298
ImageSharp,https://github.com/SixLabors/ImageSharp,C#,104,0,115,5,19.4,6,111,85,4.1,404,0.65961
shouldly,https://github.com/shouldly/shouldly,C#,133,0,111,3,4.9,5,94,84,1.7,18504,0.65868
BotBuilder-Samples,https://github.com/microsoft/BotBuilder-Samples,C#,52,0,210,4,12.1,13,284,220,1.2,1655,0.6578
NSwag,https://github.com/RicoSuter/NSwag,C#,65,0,195,7,3.7,26,325,116,1.9,323,0.65747
roslyn-analyzers,https://github.com/dotnet/roslyn-analyzers,C#,68,0,138,1,32.1,14,741,477,1.8,2726,0.65591
