name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,TypeScript,100,0,15887,6,129.5,0,2559,2077,5.7,209451,0.93429
webpack,https://github.com/webpack/webpack,JavaScript,107,0,714,8,31.9,59,987,750,3.6,138242,0.89288
ant-design,https://github.com/ant-design/ant-design,TypeScript,69,0,1515,6,54.0,77,2459,1908,2.6,35605,0.87745
babel,https://github.com/babel/babel,JavaScript,101,0,993,9,14.8,42,837,657,2.0,153348,0.87493
angular,https://github.com/angular/angular,TypeScript,76,0,1438,4,57.5,96,2792,1932,2.1,69143,0.8694
grafana,https://github.com/grafana/grafana,TypeScript,96,0,1520,4,76.1,43,3811,2726,1.6,40777,0.86889
material-ui,https://github.com/mui-org/material-ui,JavaScript,78,0,2290,7,54.7,43,1821,1553,2.9,5893,0.86624
kibana,https://github.com/elastic/kibana,TypeScript,97,0,633,5,183.2,21,11573,8110,2.1,18771,0.86471
azure-rest-api-specs,https://github.com/Azure/azure-rest-api-specs,TypeScript,66,0,1656,5,43.5,43,1662,1146,8.8,3323,0.86141
vscode,https://github.com/microsoft/vscode,TypeScript,65,0,1624,1,271.2,21,11978,9399,1.9,37504,0.84334
odoo,https://github.com/odoo/odoo,JavaScript,171,0,1776,4,125.0,0,6488,5403,2.1,42909,0.8426
generator-jhipster,https://github.com/jhipster/generator-jhipster,JavaScript,88,0,823,10,68.3,8,1433,1365,1.5,10181,0.82904
gutenberg,https://github.com/WordPress/gutenberg,JavaScript,54,0,740,5,75.7,71,3392,2092,2.5,6630,0.82138
TypeScript,https://github.com/microsoft/TypeScript,TypeScript,80,0,603,3,33.9,22,2518,1259,2.4,57300,0.82094
bigbluebutton,https://github.com/bigbluebutton/bigbluebutton,JavaScript,154,0,212,7,22.5,37,877,450,2.5,51636,0.81712
angular-cli,https://github.com/angular/angular-cli,TypeScript,70,0,534,7,35.2,105,1227,1107,1.6,17145,0.81298
Rocket.Chat,https://github.com/RocketChat/Rocket.Chat,JavaScript,68,0,784,4,29.6,153,1862,1084,1.2,51534,0.81233
freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,JavaScript,87,0,4550,4,26.5,0,1014,803,2.6,28408,0.81016
serverless,https://github.com/serverless/serverless,JavaScript,69,0,951,12,21.8,64,602,376,2.4,4028,0.80936
amphtml,https://github.com/ampproject/amphtml,JavaScript,65,0,1062,8,56.1,123,2036,1366,1.4,1770,0.80454
prettier,https://github.com/prettier/prettier,JavaScript,50,0,540,6,32.9,11,973,782,1.5,29400,0.78704
jupyterlab,https://github.com/jupyterlab/jupyterlab,JavaScript,66,0,381,9,51.4,3160,595,333,3.1,1818,0.78533
apps,https://github.com/electron/apps,JavaScript,53,0,829,8,31.7,340,85,63,1.2,20174,0.78022
matrix-react-sdk,https://github.com/matrix-org/matrix-react-sdk,JavaScript,68,0,601,7,128.3,70,285,237,1.0,4004,0.77933
components,https://github.com/angular/components,TypeScript,61,0,537,4,29.0,48,1396,921,1.4,16306,0.77888
aws-cdk,https://github.com/aws/aws-cdk,TypeScript,39,0,579,5,50.2,73,2452,1560,3.1,1664,0.77759
ccxt,https://github.com/ccxt/ccxt,JavaScript,44,0,515,3,118.8,143,605,496,1.7,15552,0.77661
tinymce,https://github.com/tinymce/tinymce,TypeScript,177,0,289,4,22.2,84,822,697,1.1,27697,0.77209
typescript-eslint,https://github.com/typescript-eslint/typescript-eslint,TypeScript,24,0,321,7,11.4,59,539,454,1.8,59330,0.76869
NodeBB,https://github.com/NodeBB/NodeBB,JavaScript,94,0,223,5,41.8,95,526,496,1.2,19466,0.76862
meteor,https://github.com/meteor/meteor,JavaScript,111,1,521,9,9.7,142,246,113,2.4,8330,0.76833
wp-calypso,https://github.com/Automattic/wp-calypso,JavaScript,63,0,697,2,109.5,15,3853,2722,2.4,1983,0.76615
netlify-cms,https://github.com/netlify/netlify-cms,JavaScript,72,0,398,7,14.4,8,516,377,1.1,42770,0.76533
rollup,https://github.com/rollup/rollup,JavaScript,69,1,263,9,8.3,106,157,95,3.1,35000,0.76499
LimeSurvey,https://github.com/LimeSurvey/LimeSurvey,JavaScript,217,0,279,7,20.7,42,152,121,2.0,8837,0.76403
deno,https://github.com/denoland/deno,TypeScript,32,0,541,6,44.9,54,1533,1132,2.1,2147,0.76395
Babylon.js,https://github.com/BabylonJS/Babylon.js,TypeScript,91,0,429,4,88.1,44,699,639,0.8,5912,0.76322
postcss,https://github.com/postcss/postcss,TypeScript,89,0,344,9,8.5,38,71,66,3.6,6548,0.76283
renovate,https://github.com/renovatebot/renovate,TypeScript,49,0,331,10,46.2,1133,7397,7135,0.4,1286,0.75875
vuetify,https://github.com/vuetifyjs/vuetify,TypeScript,52,0,628,5,39.0,78,1233,734,1.2,3260,0.75822
sequelize,https://github.com/sequelize/sequelize,JavaScript,127,1,1048,7,4.2,29,426,129,1.1,8872,0.75165
sentry-javascript,https://github.com/getsentry/sentry-javascript,TypeScript,111,0,335,6,10.0,62,279,181,1.7,6924,0.74714
nest,https://github.com/nestjs/nest,TypeScript,48,0,243,11,28.9,6,665,606,1.9,5662,0.74686
desktop,https://github.com/desktop/desktop,TypeScript,56,0,236,4,53.8,73,821,673,1.5,7513,0.74644
quasar,https://github.com/quasarframework/quasar,JavaScript,64,0,400,6,33.8,166,567,477,2.1,1324,0.74605
vue,https://github.com/vuejs/vue,JavaScript,90,0,317,7,1.1,34,256,163,1.5,36729,0.74422
knex,https://github.com/knex/knex,JavaScript,97,0,412,9,4.1,15,288,206,2.5,2832,0.74073
apollo-client,https://github.com/apollographql/apollo-client,TypeScript,59,0,628,8,26.2,5,638,328,1.7,2091,0.73838
webdriverio,https://github.com/webdriverio/webdriverio,TypeScript,114,0,315,4,17.4,88,492,427,2.6,2027,0.73834
