name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
symfony,https://github.com/symfony/symfony,PHP,134,0,3089,12,49.4,59,2273,1739,2.0,71919,0.93492
magento2,https://github.com/magento/magento2,PHP,111,0,2372,4,147.9,11,4215,2261,2.8,239737,0.92871
PrestaShop,https://github.com/PrestaShop/PrestaShop,PHP,118,0,935,9,134.3,11,2795,1808,2.3,119884,0.91409
framework,https://github.com/laravel/framework,PHP,97,0,3034,7,54.6,178,1243,1235,2.2,78728,0.91313
joomla-cms,https://github.com/joomla/joomla-cms,PHP,186,0,874,9,7.0,27,1453,1088,5.0,21533,0.86551
dolibarr,https://github.com/Dolibarr/dolibarr,PHP,227,0,494,11,144.2,12,1212,965,0.7,49400,0.85006
cakephp,https://github.com/cakephp/cakephp,PHP,190,0,746,7,21.9,43,330,290,1.8,122325,0.84757
composer,https://github.com/composer/composer,PHP,118,0,1033,9,22.6,37,685,597,2.4,10156,0.84123
yii2,https://github.com/yiisoft/yii2,PHP,118,0,1327,10,6.7,12,203,174,3.3,27716,0.83181
core,https://github.com/owncloud/core,PHP,132,0,615,8,37.0,41,372,301,2.3,17880,0.83022
phpmyadmin,https://github.com/phpmyadmin/phpmyadmin,PHP,239,0,1785,4,44.9,8,465,350,1.5,59148,0.82665
server,https://github.com/nextcloud/server,PHP,132,0,921,7,57.1,8,2437,1682,2.3,3419,0.81838
woocommerce,https://github.com/woocommerce/woocommerce,PHP,114,0,1273,5,43.5,61,1312,824,1.4,3794,0.80617
phpunit,https://github.com/sebastianbergmann/phpunit,PHP,177,0,460,12,21.7,43,182,147,1.5,13090,0.79607
opencart,https://github.com/opencart/opencart,PHP,145,0,382,8,13.3,4,660,430,1.5,98595,0.79559
laravel,https://github.com/laravel/laravel,PHP,116,0,667,5,4.0,35,73,73,2.2,161316,0.79446
jetpack,https://github.com/Automattic/jetpack,PHP,121,0,668,5,39.3,46,2161,1701,1.5,2037,0.78697
civicrm-core,https://github.com/civicrm/civicrm-core,PHP,95,0,495,6,58.4,36,733,667,3.2,1196,0.78574
mautic,https://github.com/mautic/mautic,PHP,90,0,293,8,27.1,27,772,418,2.4,4779,0.78256
cms,https://github.com/craftcms/cms,PHP,119,0,213,10,71.0,81,572,384,2.1,1445,0.77843
phpstan,https://github.com/phpstan/phpstan,PHP,61,0,211,6,34.1,61,579,435,2.4,18213,0.77785
october,https://github.com/octobercms/october,PHP,86,0,424,9,8.8,22,256,145,3.2,5536,0.77273
pimcore,https://github.com/pimcore/pimcore,PHP,119,0,364,9,36.0,30,773,601,1.3,1628,0.77181
dbal,https://github.com/doctrine/dbal,PHP,179,0,506,8,7.8,11,341,237,1.9,11918,0.77046
librenms,https://github.com/librenms/librenms,PHP,167,0,1009,5,24.9,17,311,251,2.2,1103,0.7565
SonataAdminBundle,https://github.com/sonata-project/SonataAdminBundle,PHP,123,0,735,10,10.5,33,379,321,2.4,332,0.75504
wordpress-seo,https://github.com/Yoast/wordpress-seo,PHP,99,0,308,3,100.1,151,539,433,1.7,3995,0.75304
PHP-CS-Fixer,https://github.com/FriendsOfPHP/PHP-CS-Fixer,PHP,105,0,276,9,7.3,18,357,250,1.9,5940,0.75109
moodle,https://github.com/moodle/moodle,PHP,233,0,1008,7,39.7,20,15,12,0.3,16660,0.75049
ILIAS,https://github.com/ILIAS-eLearning/ILIAS,PHP,225,0,186,9,25.8,26,231,170,0.8,7187,0.74724
psalm,https://github.com/vimeo/psalm,PHP,61,0,203,4,44.8,46,772,542,3.0,3592,0.7461
MISP,https://github.com/MISP/MISP,PHP,111,0,228,8,51.2,16,2179,533,0.4,2884,0.74518
orm,https://github.com/doctrine/orm,PHP,179,0,846,8,2.2,7,312,178,1.2,10352,0.74335
zoneminder,https://github.com/ZoneMinder/zoneminder,PHP,223,0,281,6,40.5,23,80,54,2.5,2769,0.74245
core,https://github.com/opnsense/core,PHP,75,0,165,7,14.1,36,275,159,3.2,4853,0.74148
Sylius,https://github.com/Sylius/Sylius,PHP,113,0,727,5,31.1,21,465,282,1.1,1142,0.73955
chamilo-lms,https://github.com/chamilo/chamilo-lms,PHP,173,0,157,10,16.2,4,478,220,1.3,12377,0.73654
matomo,https://github.com/matomo-org/matomo,PHP,164,0,323,6,18.1,61,716,498,2.1,522,0.73043
mediawiki,https://github.com/wikimedia/mediawiki,PHP,216,0,783,6,73.3,20,9,9,1.2,2442,0.73006
snipe-it,https://github.com/snipe/snipe-it,PHP,87,1,150,6,14.9,23,882,421,3.5,3022,0.72685
cacti,https://github.com/Cacti/cacti,PHP,227,0,122,7,16.4,8,405,373,2.2,5512,0.72669
WordPress,https://github.com/WordPress/WordPress,PHP,216,0,100,10,42.3,27,10,10,1.0,20686,0.72649
concrete5,https://github.com/concrete5/concrete5,PHP,151,1,344,7,26.6,2,381,292,1.3,11247,0.72309
amp-wp,https://github.com/ampproject/amp-wp,PHP,64,0,133,8,81.2,27,489,357,2.0,525,0.72177
grav,https://github.com/getgrav/grav,PHP,78,0,191,8,2.3,30,225,176,1.3,15497,0.72091
backdrop,https://github.com/backdrop/backdrop,PHP,251,0,293,7,4.5,22,182,85,3.6,1216,0.72055
Codeception,https://github.com/Codeception/Codeception,PHP,111,0,768,6,1.6,16,129,87,1.7,3885,0.71652
mail,https://github.com/nextcloud/mail,PHP,95,0,118,6,25.9,53,789,667,2.1,826,0.71381
aws-sdk-php,https://github.com/aws/aws-sdk-php,PHP,104,0,166,6,12.1,227,103,90,1.9,4662,0.71353
database,https://github.com/illuminate/database,PHP,104,0,997,6,11.6,47,3,3,1.7,3940,0.71213
invoiceninja,https://github.com/invoiceninja/invoiceninja,PHP,86,0,162,10,2.9,65,485,436,1.8,1708,0.71179
dokuwiki,https://github.com/splitbrain/dokuwiki,PHP,194,0,1078,5,8.0,8,126,84,1.8,1123,0.7089
vanilla,https://github.com/vanilla/vanilla,PHP,140,1,176,4,50.1,9,109,76,1.1,28687,0.70867
DoctrineBundle,https://github.com/doctrine/DoctrineBundle,PHP,128,0,266,10,1.9,17,62,57,3.9,1048,0.70817
TYPO3.CMS,https://github.com/TYPO3/TYPO3.CMS,PHP,210,0,977,10,34.6,36,18,18,1.2,135,0.70738
wordpress-develop,https://github.com/WordPress/wordpress-develop,PHP,216,0,117,9,42.2,27,367,242,1.0,567,0.70723
roundcubemail,https://github.com/roundcube/roundcubemail,PHP,186,0,214,5,8.7,19,232,180,1.8,2500,0.70361
migrations,https://github.com/doctrine/migrations,PHP,131,0,182,13,3.7,9,72,58,1.7,5810,0.70201
humhub,https://github.com/humhub/humhub,PHP,84,0,151,3,17.5,23,424,304,2.0,4656,0.70156
PHP_CodeSniffer,https://github.com/squizlabs/PHP_CodeSniffer,PHP,174,0,212,11,4.9,5,126,85,1.5,5010,0.70146
http-foundation,https://github.com/symfony/http-foundation,PHP,126,0,443,13,2.0,52,1,0,1.0,30608,0.70063
EasyAdminBundle,https://github.com/EasyCorp/EasyAdminBundle,PHP,73,0,310,9,14.3,36,345,224,2.0,171,0.69909
console,https://github.com/symfony/console,PHP,126,0,329,15,2.1,51,3,1,1.0,19671,0.69464
cphalcon,https://github.com/phalcon/cphalcon,PHP,111,2,320,9,27.4,7,219,117,1.2,1851,0.69387
symplify,https://github.com/symplify/symplify,PHP,51,0,108,8,30.0,100,2341,2329,0.3,867,0.69122
panel,https://github.com/pterodactyl/panel,PHP,62,0,111,7,16.9,25,548,444,2.3,550,0.6908
guzzle,https://github.com/guzzle/guzzle,PHP,120,1,387,11,2.4,11,274,235,0.9,2288,0.69062
openemr,https://github.com/openemr/openemr,PHP,192,0,224,6,15.6,3,312,233,2.6,867,0.68836
PHPMailer,https://github.com/PHPMailer/PHPMailer,PHP,151,1,224,7,2.0,6,120,111,3.0,6477,0.68762
yii,https://github.com/yiisoft/yii,PHP,151,0,355,8,1.8,2,35,35,2.3,8415,0.6871
cms,https://github.com/statamic/cms,PHP,38,0,97,10,52.1,75,687,463,1.9,185,0.68705
ec-cube,https://github.com/EC-CUBE/ec-cube,PHP,167,0,234,5,5.6,5,155,88,1.7,6710,0.68651
firefly-iii,https://github.com/firefly-iii/firefly-iii,PHP,79,1,115,6,26.7,40,383,341,3.3,412,0.68396
PhpSpreadsheet,https://github.com/PHPOffice/PhpSpreadsheet,PHP,126,0,272,9,5.0,6,228,120,1.1,1439,0.68335
bagisto,https://github.com/bagisto/bagisto,PHP,31,0,120,4,43.7,8,511,465,1.6,5205,0.6799
drush,https://github.com/drush-ops/drush,PHP,172,0,417,6,3.7,21,97,66,1.9,455,0.67703
Carbon,https://github.com/briannesbitt/Carbon,PHP,101,0,267,9,5.9,29,79,76,1.2,469,0.67664
wp-cli,https://github.com/wp-cli/wp-cli,PHP,113,1,320,11,2.9,6,58,37,1.3,5295,0.67655
monolog,https://github.com/Seldaek/monolog,PHP,120,0,445,10,1.8,6,57,52,1.1,1705,0.67646
passport,https://github.com/laravel/passport,PHP,54,1,151,10,2.9,23,63,61,2.4,4145,0.67615
