name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
salt,https://github.com/saltstack/salt,Python,120,0,3636,7,62.6,21,1641,679,1.1,20974,0.87814
core,https://github.com/home-assistant/core,Python,89,0,2520,9,162.7,205,5330,3786,3.5,380,0.87147
cpython,https://github.com/python/cpython,Python,370,0,1564,8,53.6,15,1952,1564,2.7,8924,0.868
scikit-learn,https://github.com/scikit-learn/scikit-learn,Python,134,0,2108,8,26.6,6,1122,599,2.6,31148,0.86068
numpy,https://github.com/numpy/numpy,Python,232,0,1227,9,41.5,16,1104,796,3.2,8818,0.85986
airflow,https://github.com/apache/airflow,Python,76,0,1682,10,67.2,11,3024,2253,2.8,3370,0.85664
buildbot,https://github.com/buildbot/buildbot,Python,184,0,773,8,19.6,12,219,185,1.6,475372,0.85477
django,https://github.com/django/django,Python,188,0,2441,4,24.3,19,462,370,2.2,33462,0.84
erpnext,https://github.com/frappe/erpnext,Python,116,0,424,8,49.5,39,961,683,0.7,84598,0.8359
edx-platform,https://github.com/edx/edx-platform,Python,110,0,959,3,51.4,255,1017,915,3.4,14138,0.82864
pytest,https://github.com/pytest-dev/pytest,Python,170,0,681,8,21.8,19,449,342,2.3,23732,0.82623
frappe,https://github.com/frappe/frappe,Python,116,0,417,6,72.6,43,651,525,1.2,38347,0.82178
sympy,https://github.com/sympy/sympy,Python,164,0,1024,4,68.7,7,796,415,5.1,5879,0.81765
pip,https://github.com/pypa/pip,Python,149,0,576,9,33.0,8,660,410,4.3,5126,0.81587
staged-recipes,https://github.com/conda-forge/staged-recipes,Python,65,0,2153,10,229.7,0,944,798,4.0,1129,0.81292
galaxy,https://github.com/galaxyproject/galaxy,Python,172,0,343,8,88.0,13,964,584,1.6,7312,0.80188
Cura,https://github.com/Ultimaker/Cura,Python,80,0,316,6,35.6,14,794,513,3.3,17361,0.79817
compose,https://github.com/docker/compose,Python,86,1,401,6,4.3,25,519,303,1.7,407375,0.79666
rasa,https://github.com/RasaHQ/rasa,Python,51,0,452,4,113.5,65,1180,785,2.2,9071,0.79205
celery,https://github.com/celery/celery,Python,142,0,1068,8,7.1,13,347,194,2.8,3975,0.78293
Paddle,https://github.com/PaddlePaddle/Paddle,Python,53,0,486,5,66.5,12,2722,1935,1.7,6994,0.782
meson,https://github.com/mesonbuild/meson,Python,98,0,608,6,28.2,17,534,290,2.3,5229,0.78112
models,https://github.com/tensorflow/models,Python,60,0,769,4,39.5,5,536,279,2.5,32638,0.78027
awx,https://github.com/ansible/awx,Python,95,0,400,8,55.6,5,1299,702,2.3,3637,0.77853
zulip,https://github.com/zulip/zulip,Python,101,0,746,4,112.6,11,1273,407,1.8,2352,0.77392
sentry,https://github.com/getsentry/sentry,Python,154,0,565,2,109.2,14,22537,22234,0.1,16159,0.7705
