name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
rails,https://github.com/rails/rails,Ruby,196,0,5438,9,38.5,15,1258,908,1.7,107008,0.92414
homebrew-core,https://github.com/Homebrew/homebrew-core,Ruby,141,0,11610,5,979.6,0,6860,6708,2.3,13984,0.89762
homebrew-cask,https://github.com/Homebrew/homebrew-cask,Ruby,107,0,8244,5,506.6,17,7597,7536,0.4,10861,0.89429
metasploit-framework,https://github.com/rapid7/metasploit-framework,Ruby,114,0,1197,7,70.1,76,939,644,2.5,48277,0.88417
brew,https://github.com/Homebrew/brew,Ruby,141,0,933,6,66.1,50,1945,1896,1.7,21161,0.85768
rubygems,https://github.com/rubygems/rubygems,Ruby,217,0,1078,11,31.0,16,427,329,2.7,13198,0.84534
rubocop,https://github.com/rubocop-hq/rubocop,Ruby,106,0,816,8,25.9,35,703,593,2.2,25147,0.84299
ruby,https://github.com/ruby/ruby,Ruby,279,0,347,6,93.4,49,470,402,1.2,63625,0.82677
linuxbrew-core,https://github.com/Homebrew/linuxbrew-core,Ruby,141,0,11747,5,1265.9,0,1826,1798,0.6,2824,0.82455
fastlane,https://github.com/fastlane/fastlane,Ruby,77,0,1338,10,9.4,50,791,653,2.7,4450,0.81914
puma,https://github.com/puma/puma,Ruby,182,0,415,10,8.2,10,190,165,3.5,37710,0.80683
spree,https://github.com/spree/spree,Ruby,156,0,1121,6,24.1,24,157,108,1.3,12237,0.79093
jekyll,https://github.com/jekyll/jekyll,Ruby,148,0,1112,7,9.8,6,273,217,1.1,34769,0.78363
aws-sdk-ruby,https://github.com/aws/aws-sdk-ruby,Ruby,115,0,190,10,8.6,207,63,54,1.9,88722,0.78256
puppet,https://github.com/puppetlabs/puppet,Ruby,191,0,773,8,19.8,25,145,132,1.7,3296,0.77462
vagrant,https://github.com/hashicorp/vagrant,Ruby,133,0,1174,9,18.7,14,349,195,1.7,1248,0.77189
manageiq,https://github.com/ManageIQ/manageiq,Ruby,80,0,332,3,25.4,13,436,315,2.7,51336,0.77085
gitlabhq,https://github.com/gitlabhq/gitlabhq,Ruby,112,1,2998,3,41.9,138,3,0,2.0,61972,0.76503
jruby,https://github.com/jruby/jruby,Ruby,235,0,472,7,24.6,5,144,101,2.6,5793,0.75304
openproject,https://github.com/opf/openproject,Ruby,176,0,247,8,63.3,14,186,175,0.6,7338,0.74837
sidekiq,https://github.com/mperham/sidekiq,Ruby,109,0,505,9,3.3,16,93,74,3.0,4713,0.74738
CocoaPods,https://github.com/CocoaPods/CocoaPods,Ruby,114,0,349,12,4.5,9,368,282,2.4,4204,0.74735
rack,https://github.com/rack/rack,Ruby,169,1,470,8,4.5,6,27,20,3.5,58821,0.74701
styles,https://github.com/citation-style-language/styles,Ruby,122,0,943,6,11.2,0,175,163,4.9,4658,0.74265
mastodon,https://github.com/tootsuite/mastodon,Ruby,59,0,694,4,30.3,18,720,492,1.2,4122,0.74236
linguist,https://github.com/github/linguist,Ruby,117,0,967,5,3.0,8,161,101,2.3,7477,0.73537
canvas-lms,https://github.com/instructure/canvas-lms,Ruby,121,0,433,6,91.9,420,133,47,1.2,653,0.72714
