name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
rust,https://github.com/rust-lang/rust,Rust,128,0,3971,6,282.8,13,4959,3128,5.1,85281,0.98
servo,https://github.com/servo/servo,Rust,108,0,1255,7,43.0,1,406,316,4.8,390296,0.87776
cargo,https://github.com/rust-lang/cargo,Rust,83,0,745,10,17.1,8,466,238,3.7,7477,0.80348
rust-clippy,https://github.com/rust-lang/rust-clippy,Rust,74,0,543,5,37.3,29,723,434,3.6,1383,0.77061
tokio,https://github.com/tokio-rs/tokio,Rust,54,0,406,6,11.9,26,532,444,2.1,2133,0.73308
rust-analyzer,https://github.com/rust-analyzer/rust-analyzer,Rust,37,0,342,4,93.3,55,1335,949,2.7,510,0.73011
tock,https://github.com/tock/tock,Rust,68,0,134,9,36.0,7,240,169,3.2,2614,0.72629
tikv,https://github.com/tikv/tikv,Rust,61,0,285,4,20.3,34,1105,745,4.1,507,0.7223
libc,https://github.com/rust-lang/libc,Rust,73,0,434,3,8.0,13,186,123,4.8,2914,0.713
rustfmt,https://github.com/rust-lang/rustfmt,Rust,72,0,362,8,5.8,18,232,171,2.3,354,0.69023
alacritty,https://github.com/alacritty/alacritty,Rust,59,0,325,4,6.6,19,569,455,3.4,562,0.68981
webrender,https://github.com/servo/webrender,Rust,64,0,166,4,21.5,1,87,86,4.8,10025,0.68969
substrate,https://github.com/paritytech/substrate,Rust,38,0,205,3,35.8,14,708,529,3.4,784,0.68584
solana,https://github.com/solana-labs/solana,Rust,35,0,108,3,77.8,143,2042,1835,1.4,746,0.67903
actix-web,https://github.com/actix/actix-web,Rust,40,0,272,6,6.6,59,188,143,2.0,853,0.67306
wasmtime,https://github.com/bytecodealliance/wasmtime,Rust,60,0,233,5,36.6,9,360,259,2.1,310,0.67232
crates.io,https://github.com/rust-lang/crates.io,Rust,79,0,238,4,31.3,0,381,321,3.8,1186,0.67136
hyper,https://github.com/hyperium/hyper,Rust,77,0,276,9,2.2,11,113,92,1.9,883,0.67021
wasmer,https://github.com/wasmerio/wasmer,Rust,27,0,67,7,68.0,16,391,316,3.5,277,0.66874
habitat,https://github.com/habitat-sh/habitat,Rust,68,0,185,7,34.1,13,154,130,1.8,241,0.66856
serde,https://github.com/serde-rs/serde,Rust,87,0,144,7,2.2,14,76,20,1.1,7237,0.65934
rust-openssl,https://github.com/sfackler/rust-openssl,Rust,110,0,261,6,3.9,13,91,73,1.5,713,0.65665
rustup,https://github.com/rust-lang/rustup,Rust,64,0,310,4,7.2,10,225,167,3.3,315,0.65648
clap,https://github.com/clap-rs/clap,Rust,71,0,288,5,10.6,3,141,91,2.5,854,0.6555
pyo3,https://github.com/PyO3/pyo3,Rust,73,0,121,9,12.8,15,174,131,2.8,97,0.6537
stacks-blockchain,https://github.com/blockstack/stacks-blockchain,Rust,76,0,80,5,57.5,19,432,319,1.7,98,0.64493
json,https://github.com/serde-rs/json,Rust,68,0,86,8,4.6,17,40,23,1.2,3600,0.64385
winit,https://github.com/rust-windowing/winit,Rust,78,0,299,7,3.2,13,130,74,3.7,66,0.64287
vector,https://github.com/timberio/vector,Rust,28,0,105,6,45.2,12,1957,1389,1.5,80,0.63796
bat,https://github.com/sharkdp/bat,Rust,33,0,226,3,16.2,10,318,265,2.6,441,0.63758
rand,https://github.com/rust-random/rand,Rust,127,0,224,2,3.9,13,48,39,3.8,825,0.63468
starship,https://github.com/starship/starship,Rust,21,0,202,5,11.0,27,388,262,1.8,225,0.6322
nix,https://github.com/nix-rust/nix,Rust,78,0,257,5,2.8,4,93,48,3.1,573,0.63199
diesel,https://github.com/diesel-rs/diesel,Rust,65,0,217,9,8.6,2,146,106,2.1,194,0.63191
image,https://github.com/image-rs/image,Rust,80,0,206,6,6.3,4,88,58,2.2,420,0.63003
amethyst,https://github.com/amethyst/amethyst,Rust,61,1,322,6,9.6,5,163,82,1.5,470,0.62648
coreutils,https://github.com/uutils/coreutils,Rust,90,0,209,8,10.9,2,102,82,1.4,212,0.62376
cbindgen,https://github.com/eqrion/cbindgen,Rust,47,0,84,6,4.0,15,76,58,2.3,1044,0.62353
chrono,https://github.com/chronotope/chrono,Rust,82,0,106,10,2.0,8,41,21,1.4,1121,0.62329
core-foundation-rs,https://github.com/servo/core-foundation-rs,Rust,107,0,138,7,1.4,7,24,21,4.5,286,0.62261
firecracker,https://github.com/firecracker-microvm/firecracker,Rust,39,0,143,5,17.4,11,335,254,1.3,222,0.62038
wasm-bindgen,https://github.com/rustwasm/wasm-bindgen,Rust,37,1,241,4,3.6,13,135,86,2.7,1005,0.62017
futures-rs,https://github.com/rust-lang/futures-rs,Rust,59,0,265,5,3.7,7,225,88,0.8,813,0.61961
gfx,https://github.com/gfx-rs/gfx,Rust,87,0,257,6,6.4,0,212,168,2.3,311,0.61888
reqwest,https://github.com/seanmonstar/reqwest,Rust,55,0,180,4,2.5,9,118,67,1.7,1395,0.61788
polkadot,https://github.com/paritytech/polkadot,Rust,35,0,100,3,16.9,48,482,397,1.9,210,0.61653
ripgrep,https://github.com/BurntSushi/ripgrep,Rust,59,1,273,5,3.7,4,84,59,2.6,866,0.6161
rust-url,https://github.com/servo/rust-url,Rust,88,0,132,7,1.7,11,27,17,1.7,901,0.61563
regex,https://github.com/rust-lang/regex,Rust,74,0,144,4,1.6,19,41,28,1.5,1846,0.61491
Rocket,https://github.com/SergioBenitez/Rocket,Rust,59,0,186,7,4.0,4,131,86,2.1,243,0.61425
nushell,https://github.com/nushell/nushell,Rust,20,0,188,7,18.8,18,302,207,1.5,60,0.61382
