name,url,language,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
gentoo,https://github.com/gentoo/gentoo,Shell,66,0,1295,3,1983.2,0,2087,1798,2.2,116732,0.84992
opam-repository,https://github.com/ocaml/opam-repository,Shell,106,0,919,9,71.6,0,670,630,2.8,2019,0.77169
bioconda-recipes,https://github.com/bioconda/bioconda-recipes,Shell,64,0,1282,11,93.8,0,1568,1434,2.4,600,0.76295
fish-shell,https://github.com/fish-shell/fish-shell,Shell,186,0,705,8,38.4,4,511,452,1.8,1701,0.76035
core,https://github.com/dotnet/core,Shell,74,0,277,3,7.9,30,545,329,2.0,87777,0.75973
oss-fuzz,https://github.com/google/oss-fuzz,Shell,54,0,432,5,24.8,0,577,496,1.3,210279,0.75117
void-packages,https://github.com/void-linux/void-packages,Shell,149,0,1114,1,422.5,0,3096,2412,1.2,6898,0.74974
rabbitmq-server,https://github.com/rabbitmq/rabbitmq-server,Shell,152,0,293,6,49.6,23,255,105,0.8,6036,0.74521
official-images,https://github.com/docker-library/official-images,Shell,91,0,513,9,43.8,0,657,639,1.6,1423,0.72127
husky,https://github.com/typicode/husky,Shell,79,0,67,10,2.8,24,139,102,2.0,22021,0.71395
powerlevel10k,https://github.com/romkatv/powerlevel10k,Shell,72,0,217,6,15.7,25,185,179,4.2,631,0.71311
rfcs,https://github.com/rust-lang/rfcs,Shell,83,0,290,6,6.3,0,205,84,5.2,14016,0.71084
ohmyzsh,https://github.com/ohmyzsh/ohmyzsh,Shell,138,0,1997,9,8.7,0,589,330,1.6,371,0.71007
build,https://github.com/armbian/build,Shell,76,0,303,4,23.9,4,310,285,1.6,6540,0.70371
tldr,https://github.com/tldr-pages/tldr,Shell,86,0,1426,8,29.7,0,726,684,1.9,162,0.70343
aports,https://github.com/alpinelinux/aports,Shell,181,0,1060,3,418.9,25,1,1,1.0,995,0.7019
dokku,https://github.com/dokku/dokku,Shell,92,0,420,7,12.4,16,167,143,1.1,869,0.69746
homestead,https://github.com/laravel/homestead,Shell,81,0,251,7,1.9,41,86,82,2.5,2891,0.69725
repo,https://github.com/archlinuxcn/repo,Shell,95,0,115,7,722.3,0,168,142,1.5,1467,0.69675
TranslateProject,https://github.com/LCTT/TranslateProject,Shell,89,0,740,8,87.8,0,893,893,0.0,1038,0.69555
rear,https://github.com/rear/rear,Shell,143,0,132,13,11.7,4,81,55,4.6,857,0.69485
api,https://github.com/istio/api,Shell,49,0,169,5,6.5,38,161,114,2.7,4726,0.69402
ruby-build,https://github.com/rbenv/ruby-build,Shell,114,0,249,10,2.0,19,61,47,2.0,1338,0.6897
pyenv,https://github.com/pyenv/pyenv,Shell,114,0,298,11,1.5,6,135,68,2.4,945,0.67982
base-drafts,https://github.com/quicwg/base-drafts,Shell,50,0,91,5,37.4,42,299,286,2.8,403,0.67296
rvm,https://github.com/rvm/rvm,Shell,138,0,638,10,1.2,1,67,37,1.7,2007,0.67232
super-linter,https://github.com/github/super-linter,Shell,14,0,114,6,27.2,43,351,313,2.0,1558,0.66731
termux-packages,https://github.com/termux/termux-packages,Shell,67,0,233,4,61.3,0,434,365,1.9,1939,0.66718
docker-transmission-openvpn,https://github.com/haugene/docker-transmission-openvpn,Shell,75,0,231,5,3.8,13,320,207,5.8,152,0.66669
bash-it,https://github.com/Bash-it/bash-it,Shell,125,0,429,7,6.1,3,298,230,1.6,261,0.66265
kaldi,https://github.com/kaldi-asr/kaldi,Shell,117,0,428,6,5.2,0,201,151,2.6,928,0.65927
uAssets,https://github.com/uBlockOrigin/uAssets,Shell,58,0,84,1,187.7,0,595,581,3.4,4488,0.64775
spinnaker,https://github.com/spinnaker/spinnaker,Shell,79,0,122,5,1.2,20,497,220,1.9,1081,0.64673
Paper,https://github.com/PaperMC/Paper,Shell,97,0,235,5,17.0,0,864,581,2.0,428,0.64652
install,https://github.com/Homebrew/install,Shell,102,0,60,8,3.6,0,66,62,2.9,12252,0.64524
pi-hole,https://github.com/pi-hole/pi-hole,Shell,80,0,198,2,5.5,11,240,193,3.7,797,0.6439
nvm,https://github.com/nvm-sh/nvm,Shell,130,0,298,10,1.6,5,184,101,2.1,118,0.64272
docker-selenium,https://github.com/SeleniumHQ/docker-selenium,Shell,79,0,123,8,2.4,31,64,55,2.0,489,0.64244
MINGW-packages,https://github.com/msys2/MINGW-packages,Shell,87,0,419,1,53.4,1,593,503,2.2,477,0.63819
riak,https://github.com/basho/riak,Shell,139,0,125,8,1.1,7,15,10,3.2,1579,0.63747
build,https://github.com/nodejs/build,Shell,78,0,61,10,2.8,0,100,63,2.8,6597,0.63652
ezplatform,https://github.com/ezsystems/ezplatform,Shell,105,0,108,7,2.9,35,49,44,1.2,886,0.6365
VVV,https://github.com/Varying-Vagrant-Vagrants/VVV,Shell,98,0,168,9,8.2,2,109,61,2.4,219,0.63441
hestiacp,https://github.com/hestiacp/hestiacp,Shell,116,0,255,5,22.2,10,325,268,1.8,22,0.63277
k8s.io,https://github.com/kubernetes/k8s.io,Shell,53,0,195,5,20.4,0,277,217,3.0,570,0.63243
problem-specifications,https://github.com/exercism/problem-specifications,Shell,92,0,332,6,1.2,0,96,68,2.6,1759,0.62973
vm,https://github.com/nextcloud/vm,Shell,56,0,63,5,14.6,13,255,236,2.9,263,0.62965
crosstool-ng,https://github.com/crosstool-ng/crosstool-ng,Shell,168,0,204,6,1.8,6,62,41,1.7,810,0.62911
bento,https://github.com/chef/bento,Shell,107,0,186,10,4.1,3,33,27,1.3,610,0.62724
dracut,https://github.com/dracutdevs/dracut,Shell,147,0,292,5,5.4,5,142,105,1.9,146,0.6272
heroku-buildpack-python,https://github.com/heroku/heroku-buildpack-python,Shell,117,0,95,7,3.3,18,82,65,0.7,910,0.62669
DietPi,https://github.com/MichaIng/DietPi,Shell,70,0,61,5,21.7,0,323,239,5.9,369,0.62543
blackarch,https://github.com/BlackArch/blackarch,Shell,144,0,155,3,46.3,0,150,118,1.0,1919,0.62346
