name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
release,https://github.com/kubernetes/release,Go,"License(name=""Apache License 2.0"")",327,59,0,116,9,17.8,14,273,221,3.2,11854,0.74843
anaconda,https://github.com/rhinstaller/anaconda,Python,"License(name=""GNU General Public License v2.0"")",326,265,0,563,6,24.0,111,186,165,3.0,147,0.72162
zigbee-herdsman-converters,https://github.com/Koenkk/zigbee-herdsman-converters,JavaScript,"License(name=""MIT License"")",324,33,0,755,4,34.2,228,490,463,2.5,412,0.71439
docsearch-configs,https://github.com/algolia/docsearch-configs,Shell,"License(name=""MIT License"")",328,58,0,863,8,81.7,0,690,667,0.3,349,0.67605
office-docs-powershell,https://github.com/MicrosoftDocs/office-docs-powershell,JavaScript,"License(name=""Other"")",327,44,0,494,7,37.8,0,467,403,2.5,403,0.67378
spotweb,https://github.com/spotweb/spotweb,PHP,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",335,121,0,101,6,6.6,5,38,37,4.4,2184,0.66726
jellyfin-androidtv,https://github.com/jellyfin/jellyfin-androidtv,Java,"License(name=""GNU General Public License v2.0"")",334,75,0,332,4,20.7,6,143,88,2.2,642,0.66341
name-suggestion-index,https://github.com/osmlab/name-suggestion-index,JavaScript,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",324,88,0,432,3,59.1,4,311,265,2.1,152,0.66074
wh40k,https://github.com/BSData/wh40k,,,334,44,0,77,4,26.3,62,944,933,1.1,845,0.65473
tempest,https://github.com/openstack/tempest,Python,"License(name=""Apache License 2.0"")",331,115,0,873,5,4.6,4,2,2,0.0,37981,0.65394
cyrus-imapd,https://github.com/cyrusimap/cyrus-imapd,C,"License(name=""Other"")",331,335,0,142,7,21.4,15,128,71,1.7,138,0.65292
netcdf-c,https://github.com/Unidata/netcdf-c,C,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",330,130,0,71,10,9.2,1,80,56,3.1,1269,0.65165
identity-idp,https://github.com/18F/identity-idp,Ruby,"License(name=""Other"")",326,61,0,94,10,17.9,31,865,860,0.2,169,0.64678
portage,https://github.com/gentoo/portage,Python,"License(name=""Other"")",333,188,0,198,2,9.4,51,42,35,0.5,6280,0.64122
tcl,https://github.com/tcltk/tcl,C,"License(name=""Other"")",333,278,0,85,7,18.2,8,2,1,4.5,975,0.64039
ironic,https://github.com/openstack/ironic,Python,"License(name=""Apache License 2.0"")",335,130,0,572,4,11.3,11,0,0,0,21414,0.63794
tigerbrew,https://github.com/mistydemeo/tigerbrew,Ruby,"License(name=""Other"")",331,142,5,6523,8,0.5,0,25,16,1.5,1434,0.63498
cmd2,https://github.com/python-cmd2/cmd2,Python,"License(name=""MIT License"")",330,157,0,40,7,6.7,23,45,34,2.6,380,0.62565
serenity-js,https://github.com/serenity-js/serenity-js,TypeScript,"License(name=""Apache License 2.0"")",335,56,0,34,5,10.1,67,81,69,2.0,1405,0.62148
7,https://github.com/pressflow/7,PHP,"License(name=""Other"")",334,252,0,32,8,1.3,16,8,5,1.1,13254,0.61602
zk,https://github.com/zkoss/zk,Java,,329,179,0,75,3,10.2,10,160,158,0.5,2040,0.6132
open-pixel-art,https://github.com/twilio-labs/open-pixel-art,JavaScript,"License(name=""MIT License"")",324,16,0,1932,6,15.5,0,679,467,1.6,33,0.61303
rubocop-performance,https://github.com/rubocop-hq/rubocop-performance,Ruby,"License(name=""MIT License"")",323,32,0,60,10,2.4,9,30,23,2.1,2075,0.60955
Chronicle-Core,https://github.com/OpenHFT/Chronicle-Core,Java,"License(name=""Other"")",327,72,0,44,8,17.7,98,45,33,0.7,406,0.60796
core,https://github.com/weld/core,Java,"License(name=""Apache License 2.0"")",325,155,1,113,6,3.8,14,78,75,1.1,435,0.60254
livecode,https://github.com/livecode/livecode,C++,"License(name=""Other"")",325,95,1,78,7,5.2,35,58,34,2.1,184,0.60192
nest-simulator,https://github.com/nest/nest-simulator,C++,"License(name=""GNU General Public License v2.0"")",335,70,0,132,3,35.8,2,179,110,2.0,196,0.59842
harmony,https://github.com/harmony-one/harmony,Go,"License(name=""MIT License"")",325,33,0,59,8,20.2,39,113,105,0.5,212,0.5965
swarm,https://github.com/ethersphere/swarm,Go,"License(name=""GNU Lesser General Public License v3.0"")",331,86,0,467,7,0.7,2,6,2,1.2,1548,0.59626
pressbooks,https://github.com/pressbooks/pressbooks,PHP,"License(name=""GNU General Public License v3.0"")",323,100,0,56,7,3.6,20,37,26,1.1,445,0.596
iputils,https://github.com/iputils/iputils,C,"License(name=""Other"")",325,180,0,94,7,1.0,1,20,9,2.2,2466,0.59598
sos,https://github.com/sosreport/sos,Python,"License(name=""GNU General Public License v2.0"")",331,177,0,280,4,8.7,3,157,116,1.7,43,0.59366
gauzy,https://github.com/ever-co/gauzy,TypeScript,"License(name=""Other"")",329,20,0,54,4,79.6,3,447,401,0.7,750,0.58866
Pkg.jl,https://github.com/JuliaLang/Pkg.jl,Julia,"License(name=""Other"")",328,48,3,97,9,5.1,6,276,175,2.7,152,0.58688
gromacs,https://github.com/gromacs/gromacs,C++,"License(name=""Other"")",327,283,0,194,7,18.1,5,1,1,1.0,259,0.58624
core,https://github.com/jeedom/core,PHP,"License(name=""Other"")",329,76,0,133,2,38.9,3,63,61,0.5,986,0.58134
intel-graphics-compiler,https://github.com/intel/intel-graphics-compiler,C++,"License(name=""MIT License"")",335,40,0,148,2,51.2,44,24,5,1.2,309,0.58033
kubeclient,https://github.com/abonas/kubeclient,Ruby,"License(name=""MIT License"")",333,74,1,62,9,1.3,11,28,20,2.9,305,0.57953
sensei,https://github.com/Automattic/sensei,PHP,"License(name=""GNU General Public License v2.0"")",329,98,0,91,1,57.5,24,362,279,0.7,71,0.57721
plasma-desktop,https://github.com/KDE/plasma-desktop,C++,"License(name=""Other"")",329,145,0,228,5,14.3,13,0,0,0,1122,0.57516
stp,https://github.com/stp/stp,C++,"License(name=""Other"")",332,149,1,49,5,1.2,1,7,2,3.3,11178,0.57341
covid19-forecast-hub,https://github.com/reichlab/covid19-forecast-hub,HTML,"License(name=""Other"")",328,10,0,139,4,101.8,3,912,864,0.2,185,0.57315
rust-cssparser,https://github.com/servo/rust-cssparser,Rust,"License(name=""Mozilla Public License 2.0"")",334,98,0,51,6,0.2,12,4,3,3.2,1003,0.57175
gtoolkit,https://github.com/feenkcom/gtoolkit,Smalltalk,"License(name=""MIT License"")",331,42,0,13,2,12.6,1022,221,171,0.9,3714,0.56983
ui,https://github.com/atk4/ui,PHP,"License(name=""MIT License"")",331,53,0,32,7,9.5,8,121,89,1.2,212,0.56957
growstuff,https://github.com/Growstuff/growstuff,Ruby,"License(name=""GNU Affero General Public License v3.0"")",334,103,0,105,4,11.2,6,79,65,0.4,216,0.56899
stress-ng,https://github.com/ColinIanKing/stress-ng,C,"License(name=""GNU General Public License v2.0"")",334,89,0,36,8,35.1,43,12,12,2.1,13,0.56859
eden,https://github.com/sahana/eden,Python,"License(name=""Other"")",327,111,0,101,7,15.2,0,6,1,0.2,3804,0.56675
doomretro,https://github.com/bradharding/doomretro,C,"License(name=""GNU General Public License v3.0"")",330,86,0,27,5,30.4,13,17,7,2.6,97,0.5662
farmer,https://github.com/CompositionalIT/farmer,F#,"License(name=""MIT License"")",327,17,0,59,8,18.9,36,138,93,1.8,21,0.56613
miranda-ng,https://github.com/miranda-ng/miranda-ng,C,"License(name=""GNU General Public License v2.0"")",333,109,0,72,3,22.2,2,140,116,1.6,101,0.56554
fprime,https://github.com/nasa/fprime,C++,"License(name=""Apache License 2.0"")",329,46,0,53,6,18.7,5,136,106,1.0,122,0.5648
plutus,https://github.com/input-output-hk/plutus,HTML,"License(name=""Apache License 2.0"")",335,51,0,60,4,29.2,1,449,424,0.8,206,0.56441
l4v,https://github.com/seL4/l4v,Isabelle,"License(name=""Other"")",324,80,0,61,6,6.7,3,99,82,1.2,161,0.56379
DrWatson.jl,https://github.com/JuliaDynamics/DrWatson.jl,Julia,"License(name=""Other"")",331,24,0,31,10,3.1,31,19,11,3.8,99,0.56219
hexagon,https://github.com/hexagonkt/hexagon,Kotlin,"License(name=""MIT License"")",328,58,0,31,6,9.7,38,37,25,0.8,206,0.55861
OAP,https://github.com/Intel-bigdata/OAP,Scala,"License(name=""Apache License 2.0"")",328,59,1,53,7,5.3,9,369,300,1.2,47,0.55122
venom-xbmc-addons,https://github.com/Kodi-vStream/venom-xbmc-addons,Python,,331,79,0,50,0,48.7,8,137,115,7.1,58,0.55058
stream,https://github.com/xwp/stream,PHP,"License(name=""GNU General Public License v2.0"")",329,87,0,87,11,3.4,9,51,36,0.5,31,0.54907
sourcecred,https://github.com/sourcecred/sourcecred,JavaScript,"License(name=""Other"")",331,36,0,29,3,14.3,15,312,248,0.8,260,0.549
yargs-parser,https://github.com/yargs/yargs-parser,JavaScript,"License(name=""ISC License"")",331,61,3,45,5,1.6,22,12,7,0.9,6133,0.54884
micmac,https://github.com/micmacIGN/micmac,C++,"License(name=""Other"")",324,102,0,70,6,3.2,2,16,13,0.6,793,0.54843
MatterControl,https://github.com/MatterHackers/MatterControl,C#,"License(name=""BSD 2-Clause ""Simplified"" License"")",327,85,0,21,4,11.7,5,91,69,0.5,883,0.54831
cutadapt,https://github.com/marcelm/cutadapt,Python,"License(name=""MIT License"")",335,126,0,26,10,3.4,6,30,23,2.8,26,0.54771
citrus,https://github.com/citrusframework/citrus,Java,"License(name=""Apache License 2.0"")",328,140,0,51,8,4.8,3,26,16,1.1,105,0.54671
