name,url,language,license,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
azure-docs,https://github.com/MicrosoftDocs/azure-docs,PowerShell,"License(name=""Other"")",4903,108,0,10602,5,1997.6,0,5904,4562,2.6,79664,0.92966
test-infra,https://github.com/kubernetes/test-infra,Go,"License(name=""Apache License 2.0"")",2533,66,0,956,2,85.2,0,1248,983,3.9,17146,0.76164
discourse,https://github.com/discourse/discourse,Ruby,"License(name=""Other"")",32364,98,0,899,1,87.1,45,818,786,0.6,13093,0.75204
biopython,https://github.com/biopython/biopython,Python,"License(name=""Other"")",2567,257,0,368,6,17.3,3,200,146,2.5,17387,0.74996
urbit,https://github.com/urbit/urbit,C,"License(name=""MIT License"")",2537,89,0,156,4,86.4,5,778,665,2.7,8874,0.74654
concourse,https://github.com/concourse/concourse,Go,"License(name=""Apache License 2.0"")",5405,82,0,455,4,35.9,21,334,230,1.4,5857,0.74356
readthedocs.org,https://github.com/readthedocs/readthedocs.org,Python,"License(name=""MIT License"")",6273,127,0,425,9,28.1,16,359,264,2.0,274,0.73235
tutorials,https://github.com/eugenp/tutorials,Java,"License(name=""MIT License"")",24448,94,0,1040,5,67.1,0,313,286,0.4,17330,0.73152
docs,https://github.com/laravel/docs,,"License(name=""MIT License"")",1979,98,0,1948,7,27.6,0,247,245,0.7,4481,0.73049
docs,https://github.com/dotnet/docs,PowerShell,"License(name=""Other"")",2539,69,0,1791,4,66.6,0,2748,1154,0.5,3067,0.72644
amp-wp,https://github.com/ampproject/amp-wp,PHP,"License(name=""GNU General Public License v2.0"")",1620,65,0,133,9,84.3,28,457,344,1.9,535,0.72612
fluent-bit,https://github.com/fluent/fluent-bit,C,"License(name=""Apache License 2.0"")",2461,82,0,210,7,26.2,30,429,183,2.3,976,0.72534
cartodb,https://github.com/CartoDB/cartodb,JavaScript,"License(name=""BSD 3-Clause ""New"" or ""Revised"" License"")",2466,122,0,208,7,47.0,14,182,150,0.4,4876,0.71869
ovs,https://github.com/openvswitch/ovs,C,"License(name=""Apache License 2.0"")",2475,140,0,604,8,8.6,11,11,8,0.5,24894,0.7163
openj9,https://github.com/eclipse/openj9,Java,"License(name=""Other"")",2533,41,0,197,4,37.3,7,1074,718,4.2,1587,0.71168
grails-core,https://github.com/grails/grails-core,HTML,"License(name=""Apache License 2.0"")",2577,189,0,313,9,5.4,9,109,57,0.8,7207,0.70688
docs,https://github.com/tensorflow/docs,Jupyter Notebook,"License(name=""Apache License 2.0"")",4223,61,0,952,7,20.0,0,105,82,1.5,6994,0.70495
mkdocs-material,https://github.com/squidfunk/mkdocs-material,TypeScript,"License(name=""MIT License"")",5357,60,0,98,7,24.1,64,189,179,2.3,2177,0.70409
AspNetCore.Docs,https://github.com/dotnet/AspNetCore.Docs,C#,"License(name=""Other"")",8398,74,0,1467,6,30.6,13,1254,1049,1.5,21,0.70035
python-docs-samples,https://github.com/GoogleCloudPlatform/python-docs-samples,Python,"License(name=""Apache License 2.0"")",4686,97,0,366,4,26.4,0,453,415,3.1,3366,0.70035
docs,https://github.com/github/docs,JavaScript,"License(name=""Other"")",2053,98,0,260,2,30.9,0,1549,1391,2.3,11926,0.699
ghc,https://github.com/ghc/ghc,Haskell,"License(name=""Other"")",2453,184,0,718,7,34.3,8,2,2,1.5,2816,0.69777
charts,https://github.com/bitnami/charts,HTML,"License(name=""Other"")",2499,60,0,620,3,72.1,0,1183,933,2.6,984,0.69366
fsharp,https://github.com/dotnet/fsharp,F#,"License(name=""MIT License"")",2566,83,0,223,6,18.1,15,1331,599,0.9,689,0.69169
docs,https://github.com/linode/docs,HTML,404-NotFound,1190,79,0,437,4,18.7,88,236,183,0.8,1217,0.69018
flatpak,https://github.com/flatpak/flatpak,C,"License(name=""GNU Lesser General Public License v2.1"")",2509,74,0,164,5,13.2,19,261,155,1.7,2571,0.6898
ravendb,https://github.com/ravendb/ravendb,C#,"License(name=""Other"")",2569,163,0,330,6,58.0,1,414,395,0.7,1167,0.68731
keepalived,https://github.com/acassen/keepalived,C,"License(name=""GNU General Public License v2.0"")",2475,138,0,142,7,10.8,11,89,83,2.9,948,0.6855
AVideo,https://github.com/WWBN/AVideo,PHP,"License(name=""Other"")",1256,46,0,60,3,51.5,4,684,551,4.3,3463,0.6778
symfony-docs,https://github.com/symfony/symfony-docs,PHP,"License(name=""Other"")",1829,133,0,2654,11,28.9,7,668,554,1.4,0,0.67379
wildfly,https://github.com/wildfly/wildfly,Java,"License(name=""GNU Lesser General Public License v2.1"")",2509,130,0,435,3,20.5,7,312,251,1.4,633,0.67363
eui,https://github.com/elastic/eui,TypeScript,"License(name=""Apache License 2.0"")",2469,49,0,171,3,18.5,14,349,216,3.4,484,0.65646
dagster,https://github.com/dagster-io/dagster,Python,"License(name=""Apache License 2.0"")",2633,33,0,110,5,66.1,58,766,315,0.8,454,0.65527
docs,https://github.com/knative/docs,HTML,"License(name=""Other"")",2692,36,0,318,5,11.1,9,323,222,2.8,281,0.65438
warehouse,https://github.com/pypa/warehouse,Python,"License(name=""Apache License 2.0"")",2574,95,0,285,9,13.2,0,323,243,1.2,544,0.65069
architecture-center,https://github.com/MicrosoftDocs/architecture-center,PowerShell,"License(name=""Other"")",1159,48,0,543,3,68.6,0,191,122,2.1,846,0.64818
en.javascript.info,https://github.com/javascript-tutorial/en.javascript.info,HTML,"License(name=""Other"")",13045,76,0,650,4,15.1,0,299,287,1.1,1095,0.6473
docfx,https://github.com/dotnet/docfx,C#,"License(name=""MIT License"")",2524,68,0,174,2,3.0,15,370,310,7.7,276,0.64668
instantsearch.js,https://github.com/algolia/instantsearch.js,TypeScript,"License(name=""MIT License"")",2579,67,0,90,8,3.3,23,117,81,1.6,1079,0.64665
trino,https://github.com/trinodb/trino,Java,"License(name=""Apache License 2.0"")",2357,103,0,565,4,77.2,34,1397,917,1.9,0,0.64337
duckdb,https://github.com/cwida/duckdb,C++,"License(name=""MIT License"")",2469,31,0,60,8,56.2,10,347,275,2.2,211,0.64272
collectd,https://github.com/collectd/collectd,C,"License(name=""Other"")",2569,110,4,619,9,3.2,2,79,18,1.3,3238,0.64156
vscode-docs,https://github.com/microsoft/vscode-docs,CSS,"License(name=""Other"")",3480,66,0,426,2,53.8,0,265,231,1.4,1916,0.6414
java-docs-samples,https://github.com/GoogleCloudPlatform/java-docs-samples,Java,"License(name=""Apache License 2.0"")",1232,71,0,206,4,37.3,0,570,545,1.1,1287,0.64052
godot-docs,https://github.com/godotengine/godot-docs,reStructuredText,"License(name=""Other"")",1194,62,0,689,3,16.6,0,361,242,1.5,873,0.63802
GDevelop,https://github.com/4ian/GDevelop,C++,"License(name=""Other"")",2567,134,0,55,6,14.2,16,226,149,3.1,90,0.63405
echarts,https://github.com/apache/echarts,TypeScript,"License(name=""Apache License 2.0"")",44472,95,0,145,4,22.7,13,1049,582,1.7,42,0.63122
mkdocs,https://github.com/mkdocs/mkdocs,Python,"License(name=""BSD 2-Clause ""Simplified"" License"")",11380,85,0,181,6,1.4,6,204,142,1.8,572,0.62674
java-tron,https://github.com/tronprotocol/java-tron,Java,"License(name=""GNU Lesser General Public License v3.0"")",2500,37,1,212,2,21.5,6,197,167,0.9,7589,0.62134
canvas,https://github.com/austintoddj/canvas,PHP,"License(name=""MIT License"")",2566,59,0,71,10,15.1,40,54,43,1.8,91,0.62095
gleam,https://github.com/gleam-lang/gleam,Rust,"License(name=""Apache License 2.0"")",2576,55,0,50,10,18.3,28,167,118,1.6,73,0.62035
jmonkeyengine,https://github.com/jMonkeyEngine/jmonkeyengine,Java,"License(name=""Other"")",2529,120,0,158,5,3.7,3,80,49,1.9,835,0.61987
docs,https://github.com/docker-library/docs,Shell,"License(name=""MIT License"")",3670,79,0,409,5,18.9,0,57,42,1.0,856,0.61706
aws-doc-sdk-examples,https://github.com/awsdocs/aws-doc-sdk-examples,Java,"License(name=""Apache License 2.0"")",3253,54,0,200,5,68.8,0,180,176,0.5,918,0.61622
klipper,https://github.com/KevinOConnor/klipper,C,"License(name=""GNU General Public License v3.0"")",2545,78,0,181,4,14.0,2,466,356,4.3,38,0.61513
