index,name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
1445,joomla-cms,https://github.com/joomla/joomla-cms,PHP,3660,186,0,874,9,7.2,30,1431,1060,4.6,22078,0.86316
1288,zephyr,https://github.com/zephyrproject-rtos/zephyr,C,4068,70,0,1046,5,191.9,13,2894,2065,2.2,5266,0.83206
918,QGIS,https://github.com/qgis/QGIS,C++,4222,225,0,557,10,140.3,9,2485,1686,2.2,1818,0.82467
1203,cli,https://github.com/npm/cli,JavaScript,3929,137,0,727,9,16.9,49,1092,395,1.3,11256,0.81287
898,qemu,https://github.com/qemu/qemu,C,4285,218,0,2059,3,158.0,16,6,6,1.0,227951,0.81084
0,mbed-os,https://github.com/ARMmbed/mbed-os,C,3604,96,0,866,6,51.4,18,1826,1620,1.7,3799,0.8074
1035,server,https://github.com/MariaDB/server,C++,3625,249,0,1678,5,53.5,45,98,54,2.3,7057,0.80658
876,openstack,https://github.com/openstack/openstack,Python,3801,88,0,3587,8,573.4,0,0,0,0,883742,0.78752
94,sphinx,https://github.com/sphinx-doc/sphinx,Python,3732,164,0,606,6,26.6,11,520,396,1.3,16260,0.78474
282,RIOT,https://github.com/RIOT-OS/RIOT,C,3660,125,0,379,6,99.3,5,835,587,3.3,2825,0.78256
822,camel,https://github.com/apache/camel,Java,3559,168,0,988,4,149.6,12,443,439,0.6,7331,0.78197
526,mautic,https://github.com/mautic/mautic,PHP,4274,90,0,297,7,26.6,27,825,404,2.2,4781,0.77451
601,dotty,https://github.com/lampepfl/dotty,Scala,4282,99,0,309,10,80.1,15,1363,1064,2.0,487,0.76904
604,hbase,https://github.com/apache/hbase,Java,3867,168,0,531,6,21.3,3,420,339,8.1,905,0.7619
434,sbt,https://github.com/sbt/sbt,Scala,4250,140,0,293,5,12.9,18,405,318,2.2,13371,0.76095
64,elementor,https://github.com/elementor/elementor,JavaScript,3529,56,0,73,5,55.3,58,1507,887,1.5,36003,0.75788
1456,rack,https://github.com/rack/rack,Ruby,4083,169,0,471,8,3.4,6,29,21,3.3,51211,0.75666
1284,renovate,https://github.com/renovatebot/renovate,TypeScript,4231,49,0,333,10,44.6,1131,7434,7166,0.3,1335,0.75585
814,hazelcast,https://github.com/hazelcast/hazelcast,Java,4137,147,0,289,7,13.8,13,558,335,1.2,11590,0.75441
612,ckeditor5,https://github.com/ckeditor/ckeditor5,Rich Text Format,4216,80,0,108,3,111.2,11,935,460,1.4,56607,0.75314
958,zcash,https://github.com/zcash/zcash,C++,4297,138,0,556,5,17.8,10,308,175,3.0,3199,0.75182
1227,nix,https://github.com/NixOS/nix,C++,3880,217,0,335,7,31.3,4,527,244,2.1,4982,0.75023
817,tendermint,https://github.com/tendermint/tendermint,Go,3844,82,0,235,8,16.8,19,613,419,1.8,4317,0.74947
751,psalm,https://github.com/vimeo/psalm,PHP,3820,61,0,206,4,43.5,45,786,562,3.0,4073,0.74864
1215,carbon,https://github.com/carbon-design-system/carbon,JavaScript,3830,68,0,322,8,23.4,54,764,495,2.1,747,0.73989
106,moto,https://github.com/spulec/moto,Python,4228,96,0,720,10,13.4,14,344,266,1.6,606,0.73981
1487,metamask-extension,https://github.com/MetaMask/metamask-extension,JavaScript,4130,66,0,225,3,30.9,31,1341,885,2.0,3839,0.7299
745,xonsh,https://github.com/xonsh/xonsh,Python,4175,73,0,246,7,16.8,11,261,161,3.5,2362,0.72988
461,autoscaler,https://github.com/kubernetes/autoscaler,Go,3879,65,0,367,4,11.9,40,404,232,3.0,2590,0.72619
340,CMake,https://github.com/Kitware/CMake,C,3603,248,0,1280,5,48.4,33,4,4,1.5,1920,0.72514
188,orientdb,https://github.com/orientechnologies/orientdb,Java,4249,131,0,180,7,20.6,15,129,57,1.7,6073,0.7251
700,canvas-lms,https://github.com/instructure/canvas-lms,Ruby,3752,121,0,434,6,90.5,420,122,45,1.1,661,0.7243
14,racket,https://github.com/racket/racket,Scheme,3761,284,0,350,9,23.2,3,226,168,3.2,680,0.72229
383,OpenBLAS,https://github.com/xianyi/OpenBLAS,Fortran,3705,121,0,219,6,16.5,6,225,199,3.7,1757,0.71926
659,Codeception,https://github.com/Codeception/Codeception,PHP,4222,111,0,768,6,1.5,16,258,212,1.2,3909,0.71813
5,html,https://github.com/whatwg/html,HTML,4196,181,0,273,8,5.7,0,322,132,2.8,16845,0.71773
1025,jOOQ,https://github.com/jOOQ/jOOQ,Java,4176,118,0,94,6,25.7,10,984,447,1.2,6322,0.71739
1186,graphql-tools,https://github.com/ardatan/graphql-tools,TypeScript,3852,58,0,252,8,18.0,155,423,395,2.3,487,0.7144
481,jx,https://github.com/jenkins-x/jx,Go,3772,37,1,213,5,9.5,304,308,210,2.5,17950,0.71259
840,sourcegraph,https://github.com/sourcegraph/sourcegraph,Go,4263,66,0,163,2,102.2,56,3172,2256,1.6,1150,0.71165
1254,lucene-solr,https://github.com/apache/lucene-solr,Java,3978,235,0,300,8,28.9,17,320,260,1.6,252,0.71061
140,ts-jest,https://github.com/kulshekhar/ts-jest,TypeScript,4229,53,0,126,5,14.0,24,277,266,1.6,12630,0.71048
536,ignite,https://github.com/apache/ignite,Java,3601,84,0,359,4,15.6,15,386,301,0.4,11520,0.71043
1134,scikit-image,https://github.com/scikit-image/scikit-image,Python,4124,139,0,474,10,8.5,1,248,158,3.5,682,0.71022
79,conda,https://github.com/conda/conda,Python,3966,100,0,346,8,5.2,7,346,110,1.7,3025,0.70957
254,cryptography,https://github.com/pyca/cryptography,Python,3732,90,0,223,7,6.9,11,568,550,0.6,7070,0.708
487,zeek,https://github.com/zeek/zeek,C++,3628,125,0,154,7,29.3,22,201,159,2.0,622,0.70675
713,juice-shop,https://github.com/bkimminich/juice-shop,JavaScript,4119,77,0,83,4,64.1,23,74,70,1.9,9747,0.7052
786,migrations,https://github.com/doctrine/migrations,PHP,3794,132,0,182,13,3.1,9,79,59,1.9,5891,0.70371
1388,roundcubemail,https://github.com/roundcube/roundcubemail,PHP,3694,186,0,214,5,8.2,18,217,171,1.9,2516,0.70259
877,client-go,https://github.com/kubernetes/client-go,Go,4223,53,0,397,5,6.4,144,98,47,1.9,5378,0.70172
624,groovy,https://github.com/apache/groovy,Java,3978,211,0,386,7,27.2,12,72,71,1.0,1039,0.70006
416,isort,https://github.com/PyCQA/isort,Python,3649,90,0,220,5,19.9,36,107,90,1.7,1837,0.69869
264,homestead,https://github.com/laravel/homestead,Shell,3617,82,0,251,7,2.0,41,89,85,2.3,2944,0.69643
736,Halide,https://github.com/halide/Halide,C++,4144,127,0,225,3,23.9,1,375,268,1.6,16166,0.69642
1243,cudf,https://github.com/rapidsai/cudf,C++,3588,46,0,197,3,180.2,3,811,585,2.3,1463,0.69348
278,twisted,https://github.com/twisted/twisted,Python,4131,237,0,217,7,20.6,6,90,63,1.5,2309,0.6931
1119,DoctrineBundle,https://github.com/doctrine/DoctrineBundle,PHP,3764,128,1,266,10,1.8,17,57,53,4.1,1096,0.692
1193,awesome,https://github.com/awesomeWM/awesome,Lua,3653,162,1,372,6,2.9,7,60,21,4.1,4364,0.68914
428,flowable-engine,https://github.com/flowable/flowable-engine,Java,3687,129,0,319,8,20.5,2,131,89,1.1,1749,0.68683
509,substrate,https://github.com/paritytech/substrate,Rust,3661,39,0,208,3,35.6,14,700,535,3.3,824,0.68669
96,css-loader,https://github.com/webpack-contrib/css-loader,JavaScript,3907,107,2,104,8,2.1,15,50,38,3.3,21778,0.68648
1140,swift-corelibs-foundation,https://github.com/apple/swift-corelibs-foundation,Swift,4092,98,0,422,4,7.0,212,79,64,4.1,352,0.6864
63,credo,https://github.com/rrrene/credo,Elixir,3694,64,0,168,8,8.3,21,48,46,2.0,2462,0.68517
