name,url,language,stars,created_since,updated_since,contributor_count,org_count,commit_frequency,recent_releases_count,updated_issues_count,closed_issues_count,comment_frequency,dependents_count,criticality_score
dolibarr,https://github.com/Dolibarr/dolibarr,PHP,2246,228,0,497,11,146.7,11,1234,968,0.7,46146,0.84801
terraform-provider-azurerm,https://github.com/terraform-providers/terraform-provider-azurerm,Go,2196,76,0,945,4,103.7,48,2122,1497,2.0,4291,0.81285
android,https://github.com/nextcloud/android,Java,2194,114,0,170,5,31.8,31,956,735,3.9,2612,0.76612
librenms,https://github.com/librenms/librenms,PHP,2130,168,0,1014,5,24.8,16,323,277,2.0,1074,0.75327
weblate,https://github.com/WeblateOrg/weblate,Python,2203,108,0,1032,3,168.4,20,556,468,2.4,227,0.75198
azure-cli,https://github.com/Azure/azure-cli,Python,2201,60,0,599,4,27.8,29,1741,857,2.0,1598,0.74965
styles,https://github.com/citation-style-language/styles,Ruby,2140,123,0,944,6,10.7,0,173,157,4.4,4658,0.73787
melpa,https://github.com/melpa/melpa,Emacs Lisp,2129,113,0,2095,6,13.0,0,231,171,4.4,1033,0.73705
calcite,https://github.com/apache/calcite,Java,2248,106,0,318,8,11.8,10,305,125,0.7,14003,0.73454
mediawiki,https://github.com/wikimedia/mediawiki,PHP,2280,216,0,784,6,73.1,20,10,10,1.2,2528,0.73199
geoserver,https://github.com/geoserver/geoserver,Java,2200,116,0,339,7,10.0,15,181,168,0.6,5831,0.71698
cucumber-jvm,https://github.com/cucumber/cucumber-jvm,Java,2232,146,0,297,10,10.3,11,72,57,2.1,1463,0.7147
kubevirt,https://github.com/kubevirt/kubevirt,Go,2270,54,0,195,3,34.2,49,770,550,6.2,422,0.71329
dcos,https://github.com/dcos/dcos,Python,2275,58,1,213,3,13.9,27,164,163,11.3,830,0.70161
pdns,https://github.com/PowerDNS/pdns,C++,2259,221,0,263,7,25.0,14,676,412,1.1,321,0.69916
vanilla,https://github.com/vanilla/vanilla,PHP,2272,141,2,176,4,45.7,9,106,73,1.1,31247,0.69826
webrender,https://github.com/servo/webrender,Rust,2222,65,0,166,4,20.9,1,84,82,4.7,10750,0.68955
panel,https://github.com/pterodactyl/panel,PHP,2181,62,0,111,7,17.1,27,529,427,2.3,501,0.68948
rushstack,https://github.com/microsoft/rushstack,TypeScript,2261,62,0,165,3,54.5,1701,198,111,1.8,1736,0.68468
drush,https://github.com/drush-ops/drush,PHP,2142,172,0,417,6,3.9,22,85,56,1.8,479,0.67595
npgsql,https://github.com/npgsql/npgsql,C#,2154,182,0,164,5,7.9,10,320,240,2.6,635,0.67447
jest-dom,https://github.com/testing-library/jest-dom,JavaScript,2130,34,0,73,10,1.4,25,42,30,2.9,12981,0.67409
spotbugs,https://github.com/spotbugs/spotbugs,Java,2146,217,0,133,6,4.9,17,90,58,1.5,2660,0.66984
habitat,https://github.com/habitat-sh/habitat,Rust,2262,69,0,185,7,33.2,14,177,142,1.5,241,0.66645
PocketMine-MP,https://github.com/pmmp/PocketMine-MP,PHP,2168,100,0,158,4,14.3,27,209,139,1.4,796,0.66548
inspec,https://github.com/inspec/inspec,Ruby,2240,70,0,335,7,11.5,25,426,173,1.0,120,0.66131
Chronicle-Queue,https://github.com/OpenHFT/Chronicle-Queue,Java,2221,93,0,72,8,20.5,87,70,54,1.3,654,0.65758
cryptpad,https://github.com/xwiki-labs/cryptpad,JavaScript,2226,75,0,80,6,37.5,22,75,33,1.0,1509,0.65616
oshi,https://github.com/oshi/oshi,Java,2210,129,0,144,4,9.3,42,139,126,2.6,285,0.65598
renpy,https://github.com/renpy/renpy,Ren'Py,2187,181,0,125,4,15.5,29,217,144,1.6,390,0.6559
sendgrid-nodejs,https://github.com/sendgrid/sendgrid-nodejs,JavaScript,2260,110,0,183,10,2.5,19,64,50,1.9,298,0.65542
stacks-blockchain,https://github.com/blockstack/stacks-blockchain,Rust,2228,77,0,80,5,58.5,27,491,371,1.6,107,0.65277
database,https://github.com/illuminate/database,PHP,2163,105,0,998,6,11.2,47,0,0,0,4036,0.65098
jwplayer,https://github.com/jwplayer/jwplayer,JavaScript,2209,106,0,93,5,8.1,41,65,55,2.1,875,0.65071
amazon-freertos,https://github.com/aws/amazon-freertos,C,2169,39,0,137,5,20.0,5,425,393,1.4,1563,0.65046
oneflow,https://github.com/Oneflow-Inc/oneflow,C++,2153,48,0,66,7,21.7,21,476,358,0.8,752,0.64893
docker-transmission-openvpn,https://github.com/haugene/docker-transmission-openvpn,Shell,2232,75,1,231,5,3.8,13,322,204,5.6,152,0.64836
pyqtgraph,https://github.com/pyqtgraph/pyqtgraph,Python,2260,132,0,179,7,5.5,2,184,123,3.2,268,0.64516
Openfire,https://github.com/igniterealtime/Openfire,Java,2274,198,0,200,7,8.2,7,77,62,1.5,317,0.64198
sanity,https://github.com/sanity-io/sanity,TypeScript,2232,59,0,51,4,37.8,51,242,116,1.1,1377,0.6416
lighthouse,https://github.com/nuwave/lighthouse,PHP,2174,57,0,139,10,7.5,33,109,80,1.9,109,0.64131
wikipedia-ios,https://github.com/wikimedia/wikipedia-ios,Swift,2171,88,0,114,7,30.1,1,93,88,0.9,1978,0.63983
Espruino,https://github.com/espruino/Espruino,C,2114,89,0,111,6,9.7,8,47,37,2.0,1029,0.63865
swift,https://github.com/openstack/swift,Python,2142,128,0,429,7,4.1,10,0,0,0,20201,0.63548
qtile,https://github.com/qtile/qtile,Python,2241,152,0,253,3,8.0,2,261,180,3.8,221,0.63345
android,https://github.com/LineageOS/android,,2142,114,2,136,8,2.1,4,5,3,1.4,39479,0.63002
webpack-dev-middleware,https://github.com/webpack/webpack-dev-middleware,JavaScript,2196,103,0,105,6,3.3,8,106,95,2.2,502,0.62698
mojo,https://github.com/mojolicious/mojo,Perl,2234,149,0,160,5,6.5,58,98,57,2.0,64,0.62031
uncrustify,https://github.com/uncrustify/uncrustify,C++,2259,137,0,164,5,7.8,2,145,92,1.3,484,0.6152
actionhero,https://github.com/actionhero/actionhero,TypeScript,2181,113,0,134,7,6.3,45,80,76,0.7,119,0.6151
